	Source 1	Source 2	Source 3	Source 4	Source 5	Source Sum
Page 9825	1548	1217	2889	3860	399	9913
Page 1716	1564	756	2963	2864	1798	9945
Page 5348	1805	1249	15	1784	5095	9948
Page 2056	1401	346	481	568	7173	9969
Page 9001	1001	1946	2353	3006	1668	9974
Page 7371	1337	1024	4996	1012	1611	9980
Page 6954	2474	2318	2613	2580	14	9999
Page 431	6795	1969	660	404	188	10016
Page 6215	3583	2290	867	3027	259	10026
Page 7415	776	516	5154	2439	1214	10099
Page 724	1345	1913	297	1405	5139	10099
Page 6620	969	14	1134	4130	3947	10194
Page 7776	1380	3453	98	3548	1717	10196
Page 6273	1815	1735	3858	196	2600	10204
Page 9077	1703	597	1837	3826	2256	10219
Page 3396	1467	1059	2746	3100	1859	10231
Page 8450	1712	330	1572	5	6631	10250
Page 5340	134	3875	4044	1954	258	10265
Page 1574	4270	827	1645	3516	31	10289
Page 335	1019	586	208	2070	6430	10313
Page 6951	3061	2468	1219	182	3396	10326
Page 3598	3315	447	1293	3423	1854	10332
Page 9779	400	4310	181	4560	895	10346
Page 6689	1821	1219	1106	2411	3847	10404
Page 36	3731	93	2745	3014	822	10405
Page 5921	1568	1197	2104	2321	3282	10472
Page 6339	4783	450	757	1660	2826	10476
Page 2355	2054	94	704	1463	6173	10488
Page 127	610	2764	4085	2633	429	10521
Page 5899	5818	1046	1363	1121	1179	10527
Page 3804	75	227	1084	1732	7415	10533
Page 5785	939	6214	34	2896	462	10545
Page 4661	3200	4351	1060	917	1044	10572
Page 6828	1700	2889	1061	1816	3111	10577
Page 1026	964	928	3353	4875	509	10629
Page 1887	2178	2756	1511	2511	1674	10630
Page 982	1052	5345	1142	915	2198	10652
Page 856	2498	3026	421	1957	2762	10664
Page 3122	1405	2717	496	4039	2013	10670
Page 4012	2726	2354	2217	2317	1068	10682
Page 1256	1418	2481	808	1742	4269	10718
Page 563	1365	1917	5988	1184	273	10727
Page 3474	6006	314	133	3764	515	10732
Page 6698	817	3516	5503	652	289	10777
Page 4027	2452	806	818	3539	3172	10787
Page 6361	1074	2084	385	4749	2541	10833
Page 5377	3344	3452	132	1873	2042	10843
Page 2844	3312	3927	1066	166	2379	10850
Page 9742	1602	1036	1249	2564	4433	10884
Page 4066	7491	508	2027	459	400	10885
Page 8468	1574	3525	539	1747	3510	10895
Page 7462	479	3956	3308	1691	1482	10916
Page 4084	2076	5160	448	503	2734	10921
Page 6247	915	1417	1125	4147	3352	10956
Page 3802	1687	3384	1553	1533	2802	10959
Page 384	2016	1636	3172	1674	2463	10961
Page 5376	1967	179	3530	2089	3197	10962
Page 8219	4322	3450	190	2430	599	10991
Page 8915	1156	3088	1419	2457	2879	10999
Page 1042	365	1891	149	2069	6575	11049
Page 9177	1503	592	6375	387	2205	11062
Page 2582	6348	2278	587	297	1558	11068
Page 9761	198	2166	1531	3843	3345	11083
Page 862	3640	265	5446	181	1588	11120
Page 8360	2763	1034	1933	618	4779	11127
Page 2099	6261	121	457	934	3395	11168
Page 8189	1787	3027	126	326	5905	11171
Page 8457	6436	2496	778	1420	58	11188
Page 7910	2171	913	4282	3250	622	11238
Page 45	114	2943	3323	1433	3443	11256
Page 1650	3715	149	571	1473	5348	11256
Page 8751	1122	1812	2144	2430	3755	11263
Page 2593	3116	809	778	3797	2765	11265
Page 4235	4348	2357	1610	2209	743	11267
Page 5795	419	982	8654	509	730	11294
Page 773	792	5133	1498	1019	2857	11299
Page 1202	4201	295	1290	808	4716	11310
Page 381	570	4849	2595	2198	1101	11313
Page 5308	2652	1133	1838	505	5222	11350
Page 421	1158	2838	468	885	6014	11363
Page 578	958	2430	3265	2207	2517	11377
Page 738	2817	1563	1144	915	4941	11380
Page 1888	5735	215	4330	934	195	11409
Page 3166	1919	4663	3030	325	1473	11410
Page 9782	3515	543	3050	1942	2374	11424
Page 2044	286	5435	1707	2267	1739	11434
Page 8169	1920	1468	2333	1107	4608	11436
Page 6626	1573	986	103	3407	5384	11453
Page 1506	2657	886	1034	927	5960	11464
Page 8904	1	3111	297	889	7175	11473
Page 8956	1787	4125	739	1386	3447	11484
Page 669	143	1756	184	2730	6678	11491
Page 3242	2539	5554	510	2300	611	11514
Page 3011	1376	6315	989	791	2046	11517
Page 4785	2528	2481	530	381	5611	11531
Page 7795	1892	1581	6608	882	570	11533
Page 2436	1754	1285	4698	1003	2808	11548
Page 9204	4276	174	2645	3448	1039	11582
Page 9201	2303	589	2661	3346	2689	11588
Page 8963	375	1149	77	3773	6219	11593
Page 7645	1866	1274	3486	1426	3559	11611
Page 2029	2821	1047	1597	3697	2458	11620
Page 8583	577	673	3507	5298	1565	11620
Page 9376	1193	1688	4222	3856	665	11624
Page 7642	1676	6797	1102	323	1795	11693
Page 1355	342	1219	533	5511	4089	11694
Page 7234	1064	3073	4464	2203	890	11694
Page 4131	3321	2284	265	4719	1110	11699
Page 2273	2735	830	3395	3974	774	11708
Page 4442	3069	887	1183	438	6137	11714
Page 4236	2942	424	6788	1189	389	11732
Page 6638	578	388	1503	4721	4548	11738
Page 4525	926	5532	1153	3896	242	11749
Page 926	508	3241	2865	3963	1191	11768
Page 3460	3488	514	1880	677	5216	11775
Page 7109	3592	2496	1387	2845	1479	11799
Page 3153	2580	4617	492	1145	2968	11802
Page 4597	785	1590	1092	3440	4899	11806
Page 3156	489	216	3133	2258	5712	11808
Page 1864	2576	565	5660	2734	330	11865
Page 6192	506	399	5340	5238	410	11893
Page 7561	3848	1037	3508	1094	2435	11922
Page 7096	4249	581	1075	5683	357	11945
Page 6658	23	1647	4493	3127	2655	11945
Page 9981	1209	2239	4277	1116	3141	11982
Page 4470	998	715	8092	859	1326	11990
Page 3334	6193	2680	417	376	2339	12005
Page 7093	9692	290	1019	659	347	12007
Page 8190	4754	3678	690	1154	1768	12044
Page 4176	4359	1572	4400	1324	401	12056
Page 9603	4013	724	1817	5186	320	12060
Page 6764	3283	427	6130	1634	599	12073
Page 1740	1384	1403	160	1328	7804	12079
Page 472	1327	221	371	326	9837	12082
Page 8226	592	1003	2509	7749	250	12103
Page 5076	397	2863	4213	3411	1250	12134
Page 5741	58	122	4778	2641	4558	12157
Page 1337	752	1844	2683	4416	2474	12169
Page 7990	1601	437	1285	7267	1585	12175
Page 997	661	2353	2569	4698	1924	12205
Page 5359	1562	1537	420	473	8213	12205
Page 5650	4572	2660	4088	636	251	12207
Page 6593	178	2890	1267	1451	6443	12229
Page 3363	5277	4094	55	1182	1641	12249
Page 7476	336	3583	3935	2145	2277	12276
Page 2279	2478	6270	2472	605	457	12282
Page 4636	1627	1776	368	4724	3797	12292
Page 5474	1580	145	866	2085	7629	12305
Page 5968	7281	260	172	1888	2721	12322
Page 8770	297	302	3336	552	7839	12326
Page 9320	525	5395	581	2547	3315	12363
Page 4833	1614	2153	6318	1553	731	12369
Page 9937	343	7075	1335	2184	1436	12373
Page 7469	882	3083	2668	553	5189	12375
Page 2945	367	7502	705	495	3308	12377
Page 7635	2889	1079	3411	702	4308	12389
Page 4222	2953	5990	870	161	2417	12391
Page 3018	936	955	2314	336	7865	12406
Page 1316	1466	2346	2850	4673	1085	12420
Page 9707	1872	2272	1330	2233	4735	12442
Page 7142	16	1506	3508	4692	2722	12444
Page 7316	6305	2334	200	2578	1029	12446
Page 2000	2341	1131	7256	1409	310	12447
Page 7929	700	3737	2411	1563	4038	12449
Page 4725	647	4580	246	4568	2416	12457
Page 4344	5711	535	5031	448	739	12464
Page 5194	519	707	3537	3484	4226	12473
Page 392	3882	331	1890	5488	886	12477
Page 1162	386	220	5056	5039	1781	12482
Page 9111	3185	770	5197	1122	2212	12486
Page 4184	5351	2169	704	69	4205	12498
Page 2014	4146	1137	1119	5367	750	12519
Page 2929	1808	1151	2066	2289	5219	12533
Page 572	430	3580	5837	373	2326	12546
Page 1806	5605	342	1089	4176	1340	12552
Page 3222	3457	1728	1648	1764	3965	12562
Page 1282	4711	1180	15	2270	4409	12585
Page 4553	4650	2198	2079	3431	228	12586
Page 1774	494	1332	809	8053	1913	12601
Page 3616	490	3619	7449	511	532	12601
Page 9044	5135	198	1548	1989	3738	12608
Page 2713	521	1316	867	3575	6339	12618
Page 688	921	3812	6044	1305	539	12621
Page 8505	915	2516	3056	5221	938	12646
Page 4325	1678	300	835	5384	4462	12659
Page 2922	1183	4228	1989	3737	1530	12667
Page 2163	1669	1196	3726	2041	4047	12679
Page 4999	171	3395	1886	6706	523	12681
Page 8491	926	2662	5616	2561	923	12688
Page 3165	256	738	8079	2196	1426	12695
Page 6018	5610	2106	2760	395	1837	12708
Page 6424	1029	1050	2435	4623	3577	12714
Page 7939	1781	1544	1981	756	6654	12716
Page 9637	5414	563	2584	712	3450	12723
Page 1447	1122	2826	754	6272	1756	12730
Page 3806	5429	1190	652	2572	2896	12739
Page 524	2822	6213	237	1032	2443	12747
Page 2256	2710	939	5437	432	3235	12753
Page 4212	3781	1696	245	5675	1359	12756
Page 6294	1518	2691	1741	711	6096	12757
Page 6995	3586	1429	1768	4357	1626	12766
Page 1805	4215	3151	1007	59	4339	12771
Page 5951	2810	754	411	1997	6833	12805
Page 1357	5174	1073	4003	2287	272	12809
Page 4424	1872	1913	3683	4425	916	12809
Page 1709	155	6165	2678	1961	1886	12845
Page 5091	339	6854	2298	431	2923	12845
Page 2224	1288	962	7241	297	3075	12863
Page 8803	5084	3479	2750	1146	423	12882
Page 2940	828	5066	966	2195	3828	12883
Page 5628	3145	762	72	5458	3479	12916
Page 3812	4855	1404	2514	1627	2520	12920
Page 2318	5295	86	2743	1754	3044	12922
Page 8640	1535	883	3631	5380	1518	12947
Page 8007	249	2475	3245	3947	3050	12966
Page 7366	970	1337	7781	1211	1668	12967
Page 5805	212	5319	2589	3372	1483	12975
Page 1818	3756	6333	282	2236	369	12976
Page 8090	1122	2675	4242	1776	3163	12978
Page 1674	2156	300	5063	2748	2726	12993
Page 2037	92	4169	5249	2436	1061	13007
Page 7653	226	6238	3102	3287	155	13008
Page 6195	378	1099	779	4108	6653	13017
Page 1832	2543	1292	3113	1833	4245	13026
Page 1913	713	5205	3927	1726	1460	13031
Page 6516	825	4542	3590	1378	2696	13031
Page 3372	575	6777	2477	1894	1310	13033
Page 8003	53	3793	4421	122	4654	13043
Page 7993	3841	143	4986	2329	1747	13046
Page 8940	1761	4605	702	2618	3364	13050
Page 1882	4221	2711	3036	967	2121	13056
Page 9888	4711	2106	5220	49	984	13070
Page 1189	76	7192	319	1105	4382	13074
Page 7139	2226	2402	539	5967	1943	13077
Page 3490	5325	1089	1219	12	5449	13094
Page 4519	6222	12	1647	1265	3948	13094
Page 9043	392	4326	4114	3536	740	13108
Page 7039	2403	7380	12	971	2342	13108
Page 2060	2552	1523	1506	2901	4644	13126
Page 3279	1470	3352	2799	746	4765	13132
Page 1566	451	5805	957	2797	3142	13152
Page 3179	247	3990	5108	2450	1359	13154
Page 179	4977	974	1884	382	4947	13164
Page 694	2748	3023	3735	2773	888	13167
Page 8778	1252	1594	3780	4057	2493	13176
Page 153	5091	1329	5329	1163	264	13176
Page 3739	667	5574	395	5302	1240	13178
Page 4427	672	6519	2022	3691	280	13184
Page 3276	2755	2543	1192	6277	427	13194
Page 6389	4606	1710	2008	4593	286	13203
Page 3088	2385	919	1451	5831	2618	13204
Page 4375	1231	192	1553	3022	7217	13215
Page 2918	1328	2866	1380	5163	2481	13218
Page 7024	7425	172	3272	809	1543	13221
Page 703	990	3823	2386	3218	2831	13248
Page 3752	1445	4186	6021	1080	520	13252
Page 1350	241	3563	1650	7280	530	13264
Page 8752	2396	2092	1507	4248	3024	13267
Page 8060	4464	206	703	6719	1186	13278
Page 5939	4569	3308	1522	1906	1998	13303
Page 1617	3276	505	1664	882	6979	13306
Page 9875	2248	40	193	6245	4588	13314
Page 4956	4740	4261	201	916	3200	13318
Page 6897	1453	4252	4115	1855	1647	13322
Page 1602	1821	4985	1209	580	4731	13326
Page 8882	1363	3759	4938	1920	1354	13334
Page 7857	1759	4608	1198	1192	4578	13335
Page 6817	5618	1688	3850	1986	199	13341
Page 2052	1906	4080	450	6118	804	13358
Page 7007	2711	237	3161	1852	5399	13360
Page 8809	2647	355	562	3028	6774	13366
Page 2790	1580	452	4827	6247	262	13368
Page 5699	542	616	1662	2072	8477	13369
Page 3494	788	2506	5677	2297	2109	13377
Page 1779	3478	1242	4650	3168	859	13397
Page 1063	2454	656	1149	1847	7302	13408
Page 4815	4646	614	700	5584	1867	13411
Page 9975	5714	905	649	2816	3328	13412
Page 2856	2754	132	1220	8000	1310	13416
Page 2976	5256	1018	192	5086	1866	13418
Page 4418	7447	226	1327	4355	78	13433
Page 7782	2606	1017	2096	380	7345	13444
Page 935	1423	8270	2058	325	1370	13446
Page 3121	1261	4608	1942	1997	3647	13455
Page 3992	5780	3127	591	3706	268	13472
Page 5903	1012	873	5416	6063	135	13499
Page 3599	1415	7990	458	2123	1517	13503
Page 848	3081	663	3190	2462	4113	13509
Page 850	1388	1988	7235	1412	1497	13520
Page 8160	3974	670	526	4035	4328	13533
Page 7137	2227	1460	20	9253	582	13542
Page 8336	8292	831	2305	105	2010	13543
Page 700	860	153	5633	5800	1106	13552
Page 410	661	2558	139	2264	7933	13555
Page 1060	346	732	3654	2515	6317	13564
Page 422	4403	126	281	4115	4641	13566
Page 2825	2762	639	2046	7875	246	13568
Page 4560	1387	6426	2024	2365	1372	13574
Page 5752	2365	3179	1604	4901	1543	13592
Page 6755	432	3151	7927	1551	544	13605
Page 1306	3432	951	631	3968	4626	13608
Page 4454	2708	6242	456	3408	803	13617
Page 937	28	1717	3969	5493	2410	13617
Page 2107	3011	2579	4474	154	3424	13642
Page 3187	1678	3628	4547	2980	821	13654
Page 6056	937	605	3321	2385	6429	13677
Page 2824	305	4056	1271	7841	211	13684
Page 9504	262	3315	1082	4761	4281	13701
Page 7906	1736	4582	1964	2031	3390	13703
Page 6514	7844	1105	1518	476	2763	13706
Page 8082	575	477	3158	4831	4667	13708
Page 6052	1759	4431	2670	998	3861	13719
Page 7784	2900	1992	1511	610	6707	13720
Page 8372	3247	2633	3321	3170	1362	13733
Page 519	2273	166	6235	1317	3744	13735
Page 5206	2276	5451	3288	2142	581	13738
Page 9017	2468	596	12	4990	5672	13738
Page 4924	277	4921	1226	288	7031	13743
Page 2860	2016	7622	2220	82	1816	13756
Page 6874	1363	2500	484	2597	6812	13756
Page 9830	1397	1639	4536	4689	1503	13764
Page 1826	1867	363	5280	2062	4193	13765
Page 7005	3541	46	7384	2415	381	13767
Page 2598	2947	645	1004	6765	2407	13768
Page 8938	531	1682	6062	4604	897	13776
Page 1131	73	1230	934	6346	5194	13777
Page 6650	3292	1427	2917	2968	3174	13778
Page 9980	2397	3298	2398	3178	2523	13794
Page 8375	1305	5392	4316	1615	1169	13797
Page 6062	2053	134	8322	598	2692	13799
Page 479	2909	1211	6771	1902	1012	13805
Page 5495	409	5181	5724	507	1987	13808
Page 6509	3631	2089	2686	438	4973	13817
Page 2462	1677	7544	1372	3125	101	13819
Page 8355	1900	1810	4776	4459	877	13822
Page 7143	4601	2195	1403	3753	1873	13825
Page 2269	3557	230	3452	6297	296	13832
Page 5326	1656	175	447	3663	7893	13834
Page 5252	1199	1847	2143	8143	506	13838
Page 9569	2032	2856	1059	5225	2673	13845
Page 394	8092	851	1169	316	3432	13860
Page 2275	554	1742	5687	4968	915	13866
Page 2583	2510	6223	2650	2093	398	13874
Page 593	2270	4850	615	1724	4424	13883
Page 3032	4361	3566	2738	2006	1215	13886
Page 3265	436	2032	2755	771	7902	13896
Page 5618	4625	1130	3924	2145	2073	13897
Page 515	1419	102	3367	8261	761	13910
Page 9542	1281	97	2073	9996	466	13913
Page 6231	1680	959	2804	7999	477	13919
Page 3975	5989	599	4488	740	2107	13923
Page 3374	2099	2281	2918	4750	1880	13928
Page 8289	866	945	3926	6586	1638	13961
Page 699	1523	726	963	4112	6657	13981
Page 2007	6025	5054	734	2047	122	13982
Page 271	8453	3652	515	11	1354	13985
Page 264	3040	1395	6600	243	2708	13986
Page 5402	1581	1300	7160	500	3446	13987
Page 8402	1094	1957	995	8132	1811	13989
Page 2926	2781	1371	3332	2008	4498	13990
Page 3641	26	5441	588	1487	6452	13994
Page 2863	459	7603	186	4279	1468	13995
Page 7272	3389	2039	2467	5517	583	13995
Page 2055	2875	5856	934	3844	497	14006
Page 6246	3802	1112	1949	3335	3813	14011
Page 632	3072	5639	2437	1043	1823	14014
Page 8507	426	143	3253	9842	357	14021
Page 8408	1679	2055	2109	6253	1932	14028
Page 5847	1730	2731	1059	1688	6834	14042
Page 24	3689	541	1656	4591	3572	14049
Page 4694	4496	1936	1851	439	5340	14062
Page 1718	3421	2053	3729	1591	3269	14063
Page 9920	3666	2885	2788	2344	2388	14071
Page 1787	1040	2967	3898	4662	1508	14075
Page 4095	91	273	5652	2647	5417	14080
Page 75	243	9227	529	1906	2179	14084
Page 3399	5203	6129	2255	447	63	14097
Page 8211	3870	3280	1625	2402	2929	14106
Page 5379	2137	831	355	1950	8834	14107
Page 5614	5047	226	4641	606	3590	14110
Page 9508	1520	8840	1782	31	1941	14114
Page 9205	243	6129	425	774	6555	14126
Page 1538	1414	2108	3277	3380	3947	14126
Page 7089	1008	3035	6236	2160	1691	14130
Page 7999	1667	2312	6736	513	2902	14130
Page 6598	6843	1045	3965	2005	274	14132
Page 1182	6619	864	4231	931	1488	14133
Page 7481	6219	1187	3225	2853	653	14137
Page 5246	139	8397	437	4493	686	14152
Page 8593	3915	6441	3014	460	323	14153
Page 5142	418	5947	680	2105	5006	14156
Page 2960	1387	4836	2367	906	4663	14159
Page 3497	4172	2941	809	785	5455	14162
Page 1019	1048	1788	2784	8287	262	14169
Page 1390	9011	2243	786	456	1680	14176
Page 8743	5611	5462	1664	326	1113	14176
Page 2083	3102	1131	4117	730	5099	14179
Page 5664	1648	8267	616	2584	1067	14182
Page 6784	1882	474	4744	4668	2442	14210
Page 8806	5161	195	6083	1936	837	14212
Page 6132	2071	874	1074	8835	1365	14219
Page 8644	5609	1711	3904	2841	157	14222
Page 19	702	1659	55	8810	2997	14223
Page 8679	3932	4069	2957	2065	1207	14230
Page 8572	329	8875	1720	804	2506	14234
Page 7010	3704	7242	1113	1969	213	14241
Page 3924	5100	2551	687	1150	4761	14249
Page 657	8253	29	53	2027	3899	14261
Page 5769	745	8694	3507	1036	279	14261
Page 1046	5173	209	5365	904	2613	14264
Page 4522	3285	5130	979	1878	2995	14267
Page 3543	6333	193	3833	1703	2206	14268
Page 2084	1576	5891	4557	1938	308	14270
Page 8447	4655	1576	595	6908	538	14272
Page 7299	121	9647	2104	867	1537	14276
Page 4145	1591	3372	3169	5622	523	14277
Page 7279	36	9	2070	3371	8794	14280
Page 1750	4208	357	2701	4250	2767	14283
Page 3811	145	187	6608	5177	2171	14288
Page 2755	2439	4333	4596	550	2371	14289
Page 2698	3604	3083	5598	734	1288	14307
Page 7813	338	2821	6326	1689	3135	14309
Page 2459	7005	722	2610	3319	665	14321
Page 6242	338	4718	591	6088	2590	14325
Page 5865	230	4644	4020	167	5264	14325
Page 1527	4392	725	5884	1216	2111	14328
Page 7849	375	8908	2447	2355	244	14329
Page 2151	2719	3032	1464	5151	1973	14339
Page 4228	8587	1343	2215	357	1842	14344
Page 3807	406	3970	2525	1266	6181	14348
Page 6213	232	1678	1509	8214	2723	14356
Page 626	3273	5393	2299	2789	605	14359
Page 2984	4576	650	332	7030	1782	14370
Page 8460	3536	1798	241	6397	2398	14370
Page 5765	2708	2979	3202	3572	1913	14374
Page 307	2811	1564	1358	4823	3824	14380
Page 9071	4268	3032	993	5079	1009	14381
Page 6152	3388	1256	816	3346	5612	14418
Page 1890	555	3273	4710	5144	736	14418
Page 7649	9546	120	2933	1820	1	14420
Page 1612	4095	145	1690	4918	3577	14425
Page 71	2809	1421	2447	3234	4526	14437
Page 8578	888	7211	1627	2583	2143	14452
Page 2147	1714	9869	363	707	1801	14454
Page 2881	51	3064	4215	4057	3069	14456
Page 9774	1532	4588	2797	5272	272	14461
Page 9768	1127	1664	4576	4508	2586	14461
Page 8841	5566	1808	159	1679	5251	14463
Page 1531	8988	2964	872	56	1596	14476
Page 2190	3460	3733	2608	1786	2906	14493
Page 9101	731	465	4732	5377	3192	14497
Page 7370	7447	3131	1450	539	1937	14504
Page 1700	9403	1526	237	2892	449	14507
Page 1757	1218	5621	3468	3640	585	14532
Page 6392	2187	430	4616	6513	787	14533
Page 1296	2831	4876	5171	245	1410	14533
Page 4224	1395	3645	702	3025	5773	14540
Page 5060	1919	101	8226	2139	2160	14545
Page 8941	3424	6518	363	789	3455	14549
Page 799	5271	1159	5989	911	1221	14551
Page 6449	485	9957	8	53	4049	14552
Page 6182	2658	723	1183	1228	8760	14552
Page 6328	362	7260	1960	274	4697	14553
Page 7216	1772	509	4793	6894	585	14553
Page 6320	3400	1366	490	8083	1216	14555
Page 5773	5230	3349	1197	3227	1553	14556
Page 6947	2921	3192	6361	510	1587	14571
Page 3188	1919	2367	2797	6128	1361	14572
Page 2664	3962	557	1473	2825	5757	14574
Page 1943	3426	1754	7404	1353	641	14578
Page 5535	6327	353	1827	3293	2789	14589
Page 985	9995	1620	403	1060	1520	14598
Page 5501	2034	2664	7338	1797	770	14603
Page 7135	390	1921	4455	6256	1585	14607
Page 5573	302	408	6926	5197	1779	14612
Page 5633	973	1501	1446	8346	2352	14618
Page 3799	3089	1026	3763	2714	4026	14618
Page 9237	3546	6598	1544	1956	980	14624
Page 5150	18	124	4881	7469	2139	14631
Page 4477	3373	6920	1383	1642	1316	14634
Page 8252	6915	672	3222	717	3111	14637
Page 1966	3536	2153	3088	5123	737	14637
Page 9058	1256	9690	662	1853	1177	14638
Page 5498	2369	2014	752	510	9019	14664
Page 4646	849	3485	14	2665	7653	14666
Page 1412	887	4449	6643	393	2315	14687
Page 5743	4616	993	2969	5479	639	14696
Page 7116	2655	428	6174	5331	109	14697
Page 8337	676	2911	6478	3879	753	14697
Page 3273	6267	1370	1580	3805	1675	14697
Page 3828	3763	4247	236	4126	2328	14700
Page 4858	1439	6070	3043	810	3346	14708
Page 2512	9338	4444	28	327	573	14710
Page 5127	5567	589	410	4543	3605	14714
Page 5005	6850	1064	1905	333	4575	14727
Page 5525	5937	4183	3702	349	557	14728
Page 802	5707	7229	377	966	453	14732
Page 4129	3440	8786	1540	830	139	14735
Page 9123	2290	1680	7121	3083	566	14740
Page 2354	1351	2863	3132	1364	6032	14742
Page 6301	2473	1718	3197	761	6595	14744
Page 8286	3879	3144	4105	3487	132	14747
Page 2150	2337	893	4416	2534	4568	14748
Page 6504	1278	945	1410	5650	5467	14750
Page 7677	263	471	6570	2430	5019	14753
Page 1518	7864	3769	1766	915	449	14763
Page 1150	6530	2540	2829	2215	666	14780
Page 3472	1227	2224	5197	3482	2658	14788
Page 2160	4537	2077	1055	6928	195	14792
Page 8712	375	3031	8958	467	1963	14794
Page 7995	1896	642	6562	4610	1091	14801
Page 6656	2333	85	6596	5635	152	14801
Page 4851	1210	558	2175	6194	4665	14802
Page 8696	1220	1090	7115	2718	2660	14803
Page 1034	1248	1176	8853	968	2559	14804
Page 7778	1121	2171	4934	46	6535	14807
Page 7428	4576	3267	1072	1625	4277	14817
Page 9969	1341	769	9896	170	2648	14824
Page 1807	5793	4398	2772	1416	447	14826
Page 8418	430	6783	416	3719	3482	14830
Page 4019	4050	6921	3421	407	33	14832
Page 8762	2649	7065	3929	988	212	14843
Page 8061	465	4307	2243	1438	6395	14848
Page 4717	3009	4856	1047	4894	1050	14856
Page 2191	274	3186	1807	2928	6664	14859
Page 2442	2738	960	7740	1580	1848	14866
Page 7192	5832	3138	930	4712	263	14875
Page 2852	6199	3137	201	1358	3986	14881
Page 1827	6502	250	2375	3764	1992	14883
Page 6314	2771	2938	3877	4947	351	14884
Page 5360	1070	3235	8350	109	2126	14890
Page 2718	2430	3878	690	7555	338	14891
Page 5450	1249	6107	3812	3199	524	14891
Page 5458	6368	628	2308	1951	3636	14891
Page 3148	1300	3750	2500	1112	6231	14893
Page 143	3707	2033	3028	3037	3090	14895
Page 5476	4130	549	1896	3447	4874	14896
Page 7291	6176	1272	5867	1424	158	14897
Page 817	3711	679	1382	8169	958	14899
Page 6313	423	4865	413	2179	7019	14899
Page 3838	4853	2460	298	71	7226	14908
Page 8610	1172	8400	47	2352	2938	14909
Page 4013	1340	2808	1110	4650	5013	14921
Page 8920	17	5174	4428	4345	962	14926
